config,diet_id,seed,weekday,weekday_name,failed,single_sub_meals,score,pool_breakfast,pool_lunch,pool_dinner,pool_snack,used_relaxed_any
FIXED_SIGNALS,synth_1000_extremely_high_carbs,1,0,Mon,False,0,210.5,4,10,9,5,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,1,1,Tue,False,1,135.0,2,8,7,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,1,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,1,3,Thu,False,1,125.0,4,4,3,2,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,1,4,Fri,False,1,103.0,4,2,1,1,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,2,0,Mon,False,0,210.5,4,10,9,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,2,1,Tue,False,1,135.0,2,8,7,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,2,2,Wed,False,1,128.0,1,6,5,3,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,2,3,Thu,False,1,125.0,4,4,3,2,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,2,4,Fri,False,1,103.0,4,2,1,1,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,3,0,Mon,False,0,191.5,4,10,9,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,3,1,Tue,False,1,147.0,2,8,7,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,3,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,3,3,Thu,False,1,129.5,4,4,3,2,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,3,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,4,0,Mon,False,0,184.5,4,10,9,5,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,4,1,Tue,False,1,147.0,2,8,8,4,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,4,2,Wed,False,1,135.0,1,6,5,3,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,4,3,Thu,False,1,136.5,4,4,3,2,
FIXED_SIGNALS,synth_1000_extremely_high_carbs,4,4,Fri,False,1,98.5,4,2,1,1,
FIXED_SIGNALS,synth_1500_extremely_low_carbs,0,0,Mon,False,0,210.5,4,10,9,2,
